run_id,timestamp,machine_name,machine_model,git_branch,git_sha,git_state,worktree_fingerprint,metric,terminal_host,workspace_scope,sample_count,avg_ms,min_ms,max_ms,samples_ms
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,spaces_detail_ui.keyboard_window_shortcut.browser_tracked_tab,ghostty,single,1,132.0,132,132,132
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,spaces_detail_ui.keyboard_window_shortcut.browser_tracked_tab,iterm2,single,1,133.0,133,133,133
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,spaces_detail_ui.keyboard_window_shortcut.process_tracked_tab,ghostty,single,1,166.0,166,166,166
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,spaces_detail_ui.keyboard_window_shortcut.process_tracked_tab,iterm2,single,1,169.0,169,169,169
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,terminal_tracked_tab.keyboard_cycle_next.browser_tracked_tab,ghostty,primary,1,137.0,137,137,137
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,terminal_tracked_tab.keyboard_cycle_next.browser_tracked_tab,ghostty,secondary,1,137.0,137,137,137
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,terminal_tracked_tab.keyboard_cycle_next.browser_tracked_tab,ghostty,single,1,131.0,131,131,131
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,terminal_tracked_tab.keyboard_cycle_next.browser_tracked_tab,iterm2,primary,1,160.0,160,160,160
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,terminal_tracked_tab.keyboard_cycle_next.browser_tracked_tab,iterm2,secondary,1,160.0,160,160,160
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,terminal_tracked_tab.keyboard_cycle_next.browser_tracked_tab,iterm2,single,1,168.0,168,168,168
